cuentaPares,cuentaPares2,cuentaPares3
0.070690,0.076005,0.020001
0.062975,0.053005,0.018418
0.110044,0.043612,0.017856
0.055419,0.045872,0.017894
0.052220,0.043961,0.018399
0.062514,0.044786,0.018274
0.057362,0.044407,0.017998
0.056596,0.046299,0.017597
0.045631,0.038004,0.017764
0.061788,0.062364,0.032265
0.126540,0.064688,0.018740
0.052408,0.040484,0.018008
0.047144,0.037396,0.017932
0.053749,0.053656,0.026864
0.071151,0.040746,0.017657
0.044651,0.063610,0.028949
0.046617,0.038502,0.018403
0.044392,0.040899,0.018200
0.060076,0.059950,0.031538
0.061891,0.061791,0.029655
0.067180,0.116463,0.029785
0.072561,0.058899,0.027980
0.080572,0.058085,0.026210
0.070748,0.063784,0.027420
0.082762,0.056038,0.033306
0.083737,0.051304,0.021881
0.047375,0.038619,0.018304
0.069604,0.054965,0.029071
0.071837,0.059734,0.031791
0.077614,0.063065,0.035098
0.074921,0.061714,0.034873
0.081036,0.058624,0.029191
0.081441,0.061843,0.032119
0.076513,0.062314,0.033741
0.077094,0.076105,0.057083
0.064404,0.048605,0.028654
0.071800,0.064456,0.032001
0.079564,0.058859,0.030293
0.076121,0.059669,0.034240
0.075210,0.058611,0.032541
0.076325,0.062134,0.033046
0.074206,0.066122,0.035026
0.082803,0.084507,0.043164
0.082648,0.067458,0.030872
0.081353,0.059871,0.032000
0.070452,0.055655,0.028078
0.093678,0.068690,0.034503
0.079543,0.068863,0.036271
0.072925,0.054103,0.028533
0.064802,0.056588,0.030773
0.072583,0.061274,0.032169
0.077038,0.063026,0.031855
0.066828,0.063956,0.029399
0.077238,0.063960,0.030894
0.074969,0.063474,0.029105
0.075593,0.092968,0.031335
0.071236,0.058822,0.030996
0.081180,0.097240,0.030888
0.082612,0.070066,0.029797
0.077982,0.061642,0.032178
0.069526,0.065998,0.031617
0.086987,0.061959,0.033183
0.087340,0.064368,0.030996
0.078219,0.065313,0.032158
0.068969,0.058691,0.033719
0.071165,0.061333,0.033195
0.071322,0.055644,0.029606
0.071499,0.060168,0.030708
0.080110,0.071981,0.033441
0.079566,0.063535,0.033473
0.072572,0.068621,0.032222
0.078474,0.058235,0.029235
0.072390,0.064123,0.029355
0.104427,0.066934,0.032312
0.067671,0.060134,0.031136
0.074604,0.063879,0.033144
0.069250,0.065830,0.033459
0.075563,0.064186,0.034612
0.074917,0.062200,0.032636
0.070797,0.059673,0.035422
0.074096,0.060919,0.030647
0.070840,0.061668,0.033415
0.070391,0.061491,0.019600
0.083950,0.063359,0.030636
0.079513,0.078846,0.032699
0.086503,0.070138,0.034625
0.077106,0.060242,0.031399
0.076875,0.064496,0.031687
0.075501,0.062137,0.031806
0.076080,0.056514,0.024621
0.066551,0.058059,0.032192
0.071993,0.103225,0.030261
0.062832,0.057087,0.033595
0.063166,0.053430,0.031493
0.061488,0.066824,0.030264
0.062605,0.068393,0.029086
0.070332,0.054505,0.029694
0.064632,0.050970,0.030377
0.065494,0.052736,0.030218
0.061214,0.054533,0.029596
