cuentaPares,cuentaPares2,cuentaPares3
0.131949,0.102282,0.107629
0.154940,0.102336,0.102212
0.116455,0.092842,0.105749
0.119085,0.092933,0.107123
0.117111,0.099292,0.106038
0.112508,0.091482,0.108186
0.115991,0.097471,0.112472
0.127778,0.098786,0.107689
0.115018,0.097489,0.100553
0.114851,0.092466,0.100095
0.138739,0.262144,0.100632
0.132989,0.108230,0.105192
0.125600,0.106025,0.108369
0.116588,0.109424,0.102808
0.124889,0.108154,0.118884
0.133741,0.112539,0.113733
0.127717,0.106412,0.103349
0.111475,0.103548,0.097572
0.114762,0.101635,0.105493
0.142893,0.129518,0.104328
0.116794,0.105029,0.101633
0.113150,0.099108,0.101388
0.117501,0.113379,0.109799
0.116719,0.104297,0.110055
0.127292,0.106241,0.108392
0.127505,0.101827,0.111098
0.116285,0.102416,0.111125
0.117527,0.128281,0.108181
0.109536,0.122640,0.108659
0.123343,0.088819,0.109934
0.101599,0.087439,0.104974
0.106265,0.091215,0.103237
0.097198,0.089318,0.093085
0.105491,0.096270,0.102283
0.100384,0.097735,0.106634
0.102455,0.088970,0.108790
0.102000,0.098535,0.106125
0.115865,0.098305,0.109442
0.103279,0.098890,0.108279
0.098048,0.096339,0.107474
0.104080,0.091750,0.108280
0.102108,0.089638,0.100093
0.108095,0.094129,0.104249
0.091013,0.234758,0.088114
0.240793,0.216996,0.102116
0.239511,0.211790,0.096557
0.231790,0.212551,0.092455
0.359522,0.217664,0.101042
0.228336,0.217264,0.093246
0.221050,0.210695,0.091153
0.234180,0.211377,0.090922
0.233319,0.216292,0.098192
0.225290,0.230459,0.092562
0.234698,0.225457,0.095684
0.248276,0.215414,0.101834
0.240532,0.215178,0.102726
0.235342,0.232774,0.096349
0.235330,0.220665,0.094530
0.253803,0.222247,0.095336
0.241672,0.220376,0.092165
0.174323,0.111664,0.102579
0.063361,0.093094,0.105953
0.058528,0.095656,0.106128
0.068778,0.101285,0.105216
0.068232,0.102711,0.103161
0.056902,0.090642,0.109243
0.056895,0.101392,0.102787
0.061852,0.094444,0.108293
0.058278,0.090213,0.105817
0.060774,0.096364,0.103661
0.061290,0.091905,0.100529
0.054735,0.096050,0.104777
0.055952,0.091201,0.099345
0.059596,0.089584,0.101693
0.057567,0.088201,0.101535
0.053809,0.091055,0.103277
0.053968,0.087218,0.100465
0.061264,0.092135,0.100809
0.053105,0.091276,0.104672
0.055018,0.091136,0.101130
0.056816,0.088974,0.102864
0.055177,0.087602,0.104282
0.052695,0.099063,0.103395
0.057137,0.091187,0.103366
0.052269,0.092711,0.101350
0.059722,0.087135,0.089764
0.055688,0.103188,0.097018
0.056019,0.103340,0.090547
0.074379,0.087616,0.104172
0.054527,0.089077,0.104116
0.057230,0.089130,0.104176
0.052343,0.087638,0.100059
0.068498,0.089134,0.099056
0.053962,0.094368,0.099049
0.052546,0.082056,0.100488
0.051764,0.086707,0.112514
0.050300,0.103103,0.104425
0.059816,0.089153,0.103928
0.079363,0.091401,0.115720
0.049654,0.083316,0.099880
